,sensor,Method,Accuracy,F1,Recall,Precision,FNR,FPR
0,sensor_00,LOF,93.46,1.06,0.53,86.52,99.47,0.01
1,sensor_01,LOF,93.46,1.06,0.53,86.52,99.47,0.01
2,sensor_02,LOF,93.46,1.06,0.53,86.52,99.47,0.01
3,sensor_04,LOF,93.46,1.06,0.53,86.52,99.47,0.01
4,sensor_10,LOF,93.46,1.06,0.53,86.52,99.47,0.01
5,sensor_42,LOF,93.46,1.06,0.53,86.52,99.47,0.01
6,sensor_49,LOF,93.46,1.06,0.53,86.52,99.47,0.01
