,sensor,Method,Accuracy,F1,Recall,Precision,FNR,FPR
0,sensor_00,LOF,93.39,0.12,0.06,10.11,99.94,0.04
1,sensor_01,LOF,93.41,0.37,0.19,30.68,99.81,0.03
2,sensor_02,LOF,93.4,0.22,0.11,19.05,99.89,0.03
3,sensor_04,LOF,93.39,0.11,0.06,9.2,99.94,0.04
4,sensor_10,LOF,93.46,1.14,0.57,93.26,99.43,0.0
5,sensor_42,LOF,93.44,0.8,0.4,65.17,99.6,0.02
6,sensor_49,LOF,93.4,0.16,0.08,16.0,99.92,0.03
